"Player","Team","Position","Rk","Status","Roster Status","Opponent","Salary","Contract","FPts","FP/G","Bye","% Owned"
"Michael Thomas","NO","WR","28","NE","Active","Bye","19","1YR","284.6","17.79","null","100%"
"Daniel Jones","NYG","QB","29","YON","Inj Res","Bye","6","2YR","283.75","21.83","null","100%"
"Mitchell Trubisky","CHI","QB","30","OAK","Active","Bye","12","2YR","283.3","18.89","null","67%"
"Andy Dalton","CIN","QB","31","GK","Active","Bye","5","WAVR","278.35","21.41","null","67%"
"Dalvin Cook","MIN","RB","32","VA","Reserve","Bye","20","2YR","272.15","19.44","null","100%"
"San Francisco","null","DST","33","MARS","Active","Bye","2","WAVR","260.27","16.27","null","100%"
"Austin Ekeler","LAC","RB","34","OAK","Active","Bye","18","AUCT","257.5","16.09","null","100%"
"Kyle Allen","CAR","QB","35","HAR","Reserve","Bye","2","WAVR","255","19.62","null","67%"
"Sam Darnold","NYJ","QB","36","YON","Active","Bye","6","3YR","252.35","19.41","null","100%"
"Nick Chubb","CLE","RB","37","LIC","Active","Bye","11","3YR","246.95","15.43","null","100%"
"Mark Ingram II","BAL","RB","38","FLU","Active","Bye","29","AUCT","240.25","16.02","null","100%"
"Pittsburgh","null","DST","39","GK","Active","Bye","9","WAVR","237.63","14.85","null","100%"
"Baltimore","null","DST","40","CR","Active","Bye","7","WAVR","230.66","14.42","null","100%"
"Chris Godwin","TB","WR","41","NE","Inj Res","Bye","31","AUCT","227.35","16.24","null","100%"
"Matthew Stafford","DET","QB","42","VA","Inj Res","Bye","11","AUCT","223.25","27.91","null","100%"
"Chris Carson","SEA","RB","43","GK","Active","Bye","15","1YR","223.1","14.87","null","100%"
"Buffalo","null","DST","44","VA","Active","Bye","7","WAVR","222.58","13.91","null","100%"
"Leonard Fournette","JAX","RB","45","HAR","Active","Bye","66","AUCT","221.9","14.79","null","100%"
"Saquon Barkley","NYG","RB","46","YON","Active","Bye","25","3YR","218.85","16.83","null","100%"
"Julio Jones","ATL","WR","47","VA","Active","Bye","78","AUCT","218.1","14.54","null","100%"
"Joe Mixon","CIN","RB","48","LIC","Active","Bye","65","AUCT","216.65","13.54","null","100%"
"Kenny Golladay","DET","WR","49","CR","Active","Bye","7","1YR","212.25","13.27","null","100%"
"Todd Gurley II","LAR","RB","50","GK","Active","Bye","51","TAGGED","209.9","13.99","null","100%"
"Cooper Kupp","LAR","WR","51","GK","Reserve","Bye","9","3YR","209.5","13.09","null","100%"
"DeAndre Hopkins","ARI","WR","52","GK","Active","Bye","82","AUCT","208.2","13.88","null","100%"
"DeVante Parker","MIA","WR","53","FLU","Active","Bye","3","WAVR","206.7","12.92","null","100%"
"Alvin Kamara","NO","RB","54","CR","Active","Bye","9","2YR","201.75","14.41","null","100%"
"Amari Cooper","DAL","WR","55","MARS","Active","Bye","30","AUCT","200.75","12.55","null","100%"
"Keenan Allen","LAC","WR","56","CR","Active","Bye","70","AUCT","199.5","12.47","null","100%"
"Miles Sanders","PHI","RB","57","CR","Active","Bye","8","1YR","198.73","12.42","null","100%"
"Travis Kelce","KC","TE","58","HAR","Active","Bye","61","AUCT","198.3","12.39","null","100%"
"Allen Robinson II","CHI","WR","59","HAR","Active","Bye","16","AUCT","197.15","12.32","null","100%"
"Mike Evans","TB","WR","60","CR","Inj Res","Bye","71","AUCT","195.95","15.07","null","100%"
"Tyler Lockett","SEA","WR","61","NE","Active","Bye","36","AUCT","194.83","12.18","null","100%"
"Julian Edelman","NE","WR","62","NE","Active","Bye","30","AUCT","194.83","12.18","null","100%"
"Josh Jacobs","OAK","RB","63","NE","Inj Res","Bye","20","ROOK","191.85","14.76","null","100%"
"Jarvis Landry","CLE","WR","64","GK","Active","Bye","9","AUCT","191.8","11.99","null","100%"
"Kenyan Drake","ARI","RB","65","NE","Reserve","Bye","5","AUCT","191.75","13.7","null","100%"
"Marlon Mack","IND","RB","66","OAK","Active","Bye","21","AUCT","188.05","13.43","null","100%"
"A.J. Brown","TEN","WR","67","YON","Active","Bye","7","ROOK","187.35","11.71","null","100%"
"Phillip Lindsay","DEN","RB","68","NE","Active","Bye","16","AUCT","183.45","11.47","null","100%"
"DJ Moore","CAR","WR","69","MARS","Active","Bye","25","AUCT","182.8","12.19","null","100%"
"DJ Chark Jr.","JAX","WR","70","LIC","Active","Bye","6","WAVR","181.8","12.12","null","100%"
"Robert Woods","LAR","WR","71","YON","Active","Bye","37","AUCT","180.15","12.01","null","100%"
"Courtland Sutton","DEN","WR","72","FLU","Active","Bye","13","AUCT","179.9","11.24","null","100%"
"John Brown","BUF","WR","73","MARS","Active","Bye","5","AUCT","179.7","11.98","null","100%"
"Le'Veon Bell","NYJ","RB","74","FLU","Reserve","Bye","79","AUCT","179.5","11.97","null","100%"
"Michael Gallup","DAL","WR","75","OAK","Active","Bye","15","AUCT","175.7","12.55","null","100%"
"Stefon Diggs","BUF","WR","76","MARS","Active","Bye","48","AUCT","174.6","11.64","null","100%"
"George Kittle","SF","TE","77","VA","Active","Bye","5","2YR","171.25","12.23","null","100%"
"Mark Andrews","BAL","TE","78","NE","Active","Bye","13","WAVR","169.2","11.28","null","100%"
"Tyler Boyd","CIN","WR","79","VA","Active","Bye","6","1YR","168.35","10.52","null","100%"
"Darren Waller","OAK","TE","80","GK","Active","Bye","14","WAVR","166.75","10.42","null","100%"
"David Montgomery","CHI","RB","81","OAK","Active","Bye","18","ROOK","165.9","10.37","null","100%"
"Devonta Freeman","(N/A)","RB","82","FLU","Active","Bye","69","AUCT","164.35","11.74","","100%"
"Raheem Mostert","SF","RB","83","NE","Active","Bye","1","WAVR","163.57","10.22","null","100%"
"NY Jets","null","DST","84","FLU","Active","Bye","5","WAVR","163.49","10.22","null","0%"
"Davante Adams","GB","WR","85","HAR","Active","Bye","27","1YR","162.95","13.58","null","100%"
"Zach Ertz","PHI","TE","86","YON","Active","Bye","19","1YR","162.1","10.81","null","100%"
"Calvin Ridley","ATL","WR","87","OAK","Reserve","Bye","11","2YR","162","12.46","null","100%"
"Melvin Gordon III","(N/A)","RB","88","MARS","Active","Bye","35","AUCT","160.8","13.4","","100%"
"James White","NE","RB","89","MARS","Reserve","Bye","10","AUCT","159.22","10.61","null","100%"
"Terry McLaurin","WAS","WR","90","FLU","Active","Bye","6","2YR","159.15","11.37","null","100%"
"Sony Michel","NE","RB","91","OAK","Reserve","Bye","40","AUCT","158.1","9.88","null","100%"
"Carlos Hyde","(N/A)","RB","92","HAR","Active","Bye","3","WAVR","157.95","9.87","","100%"
"Marvin Jones Jr.","DET","WR","93","LIC","Reserve","Bye","7","AUCT","157.65","12.13","null","100%"
"Odell Beckham Jr.","CLE","WR","94","YON","Active","Bye","76","AUCT","157.05","9.82","null","100%"
"Tyreek Hill","KC","WR","95","YON","Active","Bye","19","1YR","154.8","12.9","null","100%"
"Deebo Samuel","SF","WR","96","MARS","Active","Bye","6","2YR","154.6","10.31","null","100%"
"New Orleans","null","DST","97","OAK","Active","Bye","6","WAVR","153.6","9.6","null","100%"
"Ronald Jones II","TB","RB","98","LIC","Reserve","Bye","13","WAVR","153.55","9.6","null","100%"
